"","World Bank Income Status","Country (ISO3 Code)","WHO-CHOICE Region","World Bank Geographical Region","World Health Organization Region","Gram stain","Antibiotic Class","Syndrome","Regional Level of MA for LOS","Number of Studies in MA for LOS","Mean Cost - from Excess LOS","Low 95% UI Bound - from Excess LOS","High 95% UI Bound - from Excess LOS","Regional Level of MA for Extracted Costs","Number of Studies in MA for Extracted Costs","Mean Cost - from Extracted Costs","Low 95% UI Bound - from Exctraced Costs","High 95% UI Bound - from Extraced Costs","Mean Cost - Across Both","Low 95% UI Bound - Across Both","High 95% UI Bound - Across Both","AMR_or_DRI","adj.factor","los.cost","Scenario 2 Mean Cost"
"2933","Lower middle income","MAR","EMRO D","Middle East & North Africa","EMRO","gp","penicillins","BSI","global",27,113,32,266,"global",12,220,-97,539,167,-51,482,"AMR",2.68623198395786,113,416.544214187238
"2934","Lower middle income","MAR","EMRO D","Middle East & North Africa","EMRO","gn","3g cephalosporins","COL/INF","income",1,86,34,187,"income",1,108,-110,318,97,-77,290,"AMR",2.68623198395786,86,317.015950620376
"2935","Lower middle income","MAR","EMRO D","Middle East & North Africa","EMRO","gn","carbapenems","COL/INF","global",21,142,47,327,"global",10,3389,185,6588,1765,49,6165,"AMR",2.68623198395786,142,523.444941722016
"2936","Lower middle income","MAR","EMRO D","Middle East & North Africa","EMRO","gp","glycopeptides","COL/INF","global",7,112,4,319,"global",4,21806,-1997,46104,10959,-10,41529,"AMR",2.68623198395786,112,412.85798220328
"2937","Lower middle income","MAR","EMRO D","Middle East & North Africa","EMRO","gp","penicillins","COL/INF","global",14,70,9,184,"global",7,2861,-4496,9559,1465,-3325,8787,"AMR",2.68623198395786,70,258.03623887705
"2938","Lower middle income","MAR","EMRO D","Middle East & North Africa","EMRO","gn","3g cephalosporins","RTI","global",7,9,-95,132,NA,NA,NA,NA,NA,9,-95,132,"AMR",2.68623198395786,9,33.1760878556207
"2939","Lower middle income","MAR","EMRO D","Middle East & North Africa","EMRO","gn","carbapenems","RTI","global",4,52,-152,314,"global",1,6361,-6044,18021,3206,-4027,15916,"AMR",2.68623198395786,52,191.684063165809
"2940","Lower middle income","MAR","EMRO D","Middle East & North Africa","EMRO","tb","mdr","RTI","global",3,3258,-926,10578,"global",1,45715,-43499,142408,24486,-31741,129191,"AMR",2.68623198395786,3258,12009.7438037347
"2941","Lower middle income","MAR","EMRO D","Middle East & North Africa","EMRO","gp","penicillins","RTI","global",13,46,6,122,"global",5,-706,-5252,3613,-330,-4487,3045,"AMR",2.68623198395786,46,169.566671262062
"2942","Lower middle income","MAR","EMRO D","Middle East & North Africa","EMRO","gp","penicillins","SSI","global",2,166,56,399,"global",2,37378,-13581,88036,18772,-5186,81288,"AMR",2.68623198395786,166,611.914509337005
"2943","Lower middle income","MAR","EMRO D","Middle East & North Africa","EMRO","gp","penicillins","SSTI","global",2,259,51,642,"global",2,631,-416,1800,445,-251,1538,"AMR",2.68623198395786,259,954.734083845086
"2944","Lower middle income","MAR","EMRO D","Middle East & North Africa","EMRO","gn","3g cephalosporins","UTI","global",4,78,25,184,"global",2,1608,-758,3870,843,-323,3606,"AMR",2.68623198395786,78,287.526094748713
"2945","Lower middle income","MAR","EMRO D","Middle East & North Africa","EMRO","gn","carbapenems","UTI","wbregion",1,131,-26,407,NA,NA,NA,NA,NA,131,-26,407,"AMR",2.68623198395786,131,482.89638989848
"2946","Lower middle income","MAR","EMRO D","Middle East & North Africa","EMRO","gp","glycopeptides","UTI","global",1,28,-1135,1222,NA,NA,NA,NA,NA,28,-1135,1222,"AMR",2.68623198395786,28,103.21449555082
"2947","Lower middle income","MDA","EURO C","Europe & Central Asia","EURO","gp","penicillins","B-J","income",1,89,27,208,NA,NA,NA,NA,NA,89,27,208,"AMR",2.68623198395786,89,328.07464657225
"2948","Lower middle income","MDA","EURO C","Europe & Central Asia","EURO","gn","3g cephalosporins","BSI","wbregion",21,58,18,133,"wbregion",6,245,-247,765,151,-185,670,"AMR",2.68623198395786,58,213.801455069556
"2949","Lower middle income","MDA","EURO C","Europe & Central Asia","EURO","gn","carbapenems","BSI","wbregion",3,66,-4,199,NA,NA,NA,NA,NA,66,-4,199,"AMR",2.68623198395786,66,243.291310941219
"2950","Lower middle income","MDA","EURO C","Europe & Central Asia","EURO","gp","glycopeptides","BSI","wbregion",2,235,31,639,"wbregion",1,37239,-30232,107378,18737,-18057,96849,"AMR",2.68623198395786,235,866.264516230097
"2951","Lower middle income","MDA","EURO C","Europe & Central Asia","EURO","gp","penicillins","BSI","wbregion",10,29,9,68,"wbregion",3,337,-511,1184,183,-371,1052,"AMR",2.68623198395786,29,106.900727534778
"2952","Lower middle income","MDA","EURO C","Europe & Central Asia","EURO","gn","3g cephalosporins","COL/INF","income",1,59,21,130,"income",1,119,-101,339,89,-67,313,"AMR",2.68623198395786,59,217.487687053514
"2953","Lower middle income","MDA","EURO C","Europe & Central Asia","EURO","gn","carbapenems","COL/INF","whoc",1,191,38,497,"global",10,3381,114,6641,1786,42,6036,"AMR",2.68623198395786,191,704.070308935951
"2954","Lower middle income","MDA","EURO C","Europe & Central Asia","EURO","gp","glycopeptides","COL/INF","wbregion",1,163,-16,494,"wbregion",1,31266,-30490,93440,15715,-22034,83080,"AMR",2.68623198395786,163,600.855813385131
"2955","Lower middle income","MDA","EURO C","Europe & Central Asia","EURO","gp","penicillins","COL/INF","wbregion",2,163,58,359,"wbregion",2,10249,-2635,23670,5206,-717,21958,"AMR",2.68623198395786,163,600.855813385131
"2956","Lower middle income","MDA","EURO C","Europe & Central Asia","EURO","gn","3g cephalosporins","RTI","wbregion",6,-15,-70,29,NA,NA,NA,NA,NA,-15,-70,29,"AMR",2.68623198395786,-15,-55.2934797593679
"2957","Lower middle income","MDA","EURO C","Europe & Central Asia","EURO","gn","carbapenems","RTI","wbregion",2,93,-45,299,"global",1,6329,-5373,18115,3211,-3567,16432,"AMR",2.68623198395786,93,342.819574508081
"2958","Lower middle income","MDA","EURO C","Europe & Central Asia","EURO","tb","mdr","RTI","whoc",1,5397,1884,11758,"whoc",1,46147,-49951,144224,25772,-27989,125119,"AMR",2.68623198395786,5397,19894.5940174206
"2959","Lower middle income","MDA","EURO C","Europe & Central Asia","EURO","gp","penicillins","RTI","wbregion",5,95,7,254,"wbregion",1,33243,-29823,97418,16669,-20967,87977,"AMR",2.68623198395786,95,350.192038475997
"2960","Lower middle income","MDA","EURO C","Europe & Central Asia","EURO","gp","penicillins","SSI","global",2,113,36,263,"global",2,36778,-16869,88515,18445,-8066,81401,"AMR",2.68623198395786,113,416.544214187238
"2961","Lower middle income","MDA","EURO C","Europe & Central Asia","EURO","gp","penicillins","SSTI","wbregion",1,138,38,321,"global",2,611,-524,1734,296,-156,1435,"AMR",2.68623198395786,138,508.700013786185
"2962","Lower middle income","MDA","EURO C","Europe & Central Asia","EURO","gn","3g cephalosporins","UTI","wbregion",1,61,21,130,"wbregion",1,1292,-1265,3884,677,-824,3485,"AMR",2.68623198395786,61,224.860151021429
"2963","Lower middle income","MDA","EURO C","Europe & Central Asia","EURO","gn","carbapenems","UTI","global",2,145,7,397,NA,NA,NA,NA,NA,145,7,397,"AMR",2.68623198395786,145,534.50363767389
"2964","Lower middle income","MDA","EURO C","Europe & Central Asia","EURO","gp","glycopeptides","UTI","global",1,35,-889,979,NA,NA,NA,NA,NA,35,-889,979,"AMR",2.68623198395786,35,129.018119438525
"2965","Lower middle income","MMR","SEARO D","East Asia & Pacific","SEARO","gp","penicillins","B-J","whoc",1,16,5,37,NA,NA,NA,NA,NA,16,5,37,"AMR",2.68623198395786,16,58.9797117433258
"2966","Lower middle income","MMR","SEARO D","East Asia & Pacific","SEARO","gn","3g cephalosporins","BSI","wbregion",5,25,9,57,"wbregion",2,901,-542,2483,463,-318,2153,"AMR",2.68623198395786,25,92.1557995989465
"2967","Lower middle income","MMR","SEARO D","East Asia & Pacific","SEARO","gn","carbapenems","BSI","wbregion",5,17,3,44,NA,NA,NA,NA,NA,17,3,44,"AMR",2.68623198395786,17,62.6659437272836
"2968","Lower middle income","MMR","SEARO D","East Asia & Pacific","SEARO","gp","glycopeptides","BSI","wbregion",2,12,-1,33,"wbregion",1,21952,-21041,65241,10982,-15516,58351,"AMR",2.68623198395786,12,44.2347838074943
"2969","Lower middle income","MMR","SEARO D","East Asia & Pacific","SEARO","gp","penicillins","BSI","wbregion",7,25,5,64,"wbregion",2,1203,-903,3369,614,-583,2947,"AMR",2.68623198395786,25,92.1557995989465
"2970","Lower middle income","MMR","SEARO D","East Asia & Pacific","SEARO","gn","3g cephalosporins","COL/INF","income",1,10,4,22,"income",1,113,-105,328,62,-72,298,"AMR",2.68623198395786,10,36.8623198395786
"2971","Lower middle income","MMR","SEARO D","East Asia & Pacific","SEARO","gn","carbapenems","COL/INF","wbregion",5,14,-2,45,"wbregion",3,3660,-940,8272,1837,-197,7547,"AMR",2.68623198395786,14,51.60724777541
"2972","Lower middle income","MMR","SEARO D","East Asia & Pacific","SEARO","gp","glycopeptides","COL/INF","wbregion",1,22,-6,66,"global",4,21101,-1088,43544,10562,-8,40864,"AMR",2.68623198395786,22,81.0971036470729
"2973","Lower middle income","MMR","SEARO D","East Asia & Pacific","SEARO","gp","penicillins","COL/INF","wbregion",1,19,-204,232,"global",7,2843,-4521,10105,1431,-3457,8945,"AMR",2.68623198395786,19,70.0384076951993
"2974","Lower middle income","MMR","SEARO D","East Asia & Pacific","SEARO","gn","3g cephalosporins","RTI","wbregion",1,32,10,71,NA,NA,NA,NA,NA,32,10,71,"AMR",2.68623198395786,32,117.959423486652
"2975","Lower middle income","MMR","SEARO D","East Asia & Pacific","SEARO","gn","carbapenems","RTI","wbregion",2,8,-89,121,"wbregion",1,6371,-6000,19159,3189,-3758,16580,"AMR",2.68623198395786,8,29.4898558716629
"2976","Lower middle income","MMR","SEARO D","East Asia & Pacific","SEARO","tb","mdr","RTI","wbregion",1,34,-2,101,"global",1,45252,-52561,135136,22643,-34002,122465,"AMR",2.68623198395786,34,125.331887454567
"2977","Lower middle income","MMR","SEARO D","East Asia & Pacific","SEARO","gp","penicillins","RTI","wbregion",2,2,-14,23,"global",5,-684,-5079,3682,-341,-4426,3140,"AMR",2.68623198395786,2,7.37246396791572
"2978","Lower middle income","MMR","SEARO D","East Asia & Pacific","SEARO","gp","penicillins","SSI","global",2,20,7,46,"global",2,35778,-13984,89277,17899,-5726,78756,"AMR",2.68623198395786,20,73.7246396791572
"2979","Lower middle income","MMR","SEARO D","East Asia & Pacific","SEARO","gp","penicillins","SSTI","wbregion",1,49,10,125,"wbregion",1,5596,-5533,16323,2823,-3186,15028,"AMR",2.68623198395786,49,180.625367213935
"2980","Lower middle income","MMR","SEARO D","East Asia & Pacific","SEARO","gn","3g cephalosporins","UTI","wbregion",2,12,4,24,"global",2,1623,-727,3945,817,-381,3667,"AMR",2.68623198395786,12,44.2347838074943
"2981","Lower middle income","MMR","SEARO D","East Asia & Pacific","SEARO","gn","carbapenems","UTI","global",2,25,2,69,NA,NA,NA,NA,NA,25,2,69,"AMR",2.68623198395786,25,92.1557995989465
"2982","Lower middle income","MMR","SEARO D","East Asia & Pacific","SEARO","gp","glycopeptides","UTI","global",1,8,-133,170,NA,NA,NA,NA,NA,8,-133,170,"AMR",2.68623198395786,8,29.4898558716629
"2983","Lower middle income","MNG","WPRO B","East Asia & Pacific","WPRO","gp","penicillins","B-J","income",1,91,31,214,NA,NA,NA,NA,NA,91,31,214,"AMR",2.68623198395786,91,335.447110540165
"2984","Lower middle income","MNG","WPRO B","East Asia & Pacific","WPRO","gn","3g cephalosporins","BSI","whoc",3,148,52,327,"wbregion",2,881,-566,2410,515,-337,2128,"AMR",2.68623198395786,148,545.562333625763
"2985","Lower middle income","MNG","WPRO B","East Asia & Pacific","WPRO","gn","carbapenems","BSI","whoc",1,88,-6,254,NA,NA,NA,NA,NA,88,-6,254,"AMR",2.68623198395786,88,324.388414588292
"2986","Lower middle income","MNG","WPRO B","East Asia & Pacific","WPRO","gp","glycopeptides","BSI","whoc",1,31,-175,257,"wbregion",1,24478,-18035,69702,12254,-11807,62023,"AMR",2.68623198395786,31,114.273191502694
"2987","Lower middle income","MNG","WPRO B","East Asia & Pacific","WPRO","gp","penicillins","BSI","whoc",4,251,72,603,"whoc",2,1222,-1033,3564,737,-720,3128,"AMR",2.68623198395786,251,925.244227973423
"2988","Lower middle income","MNG","WPRO B","East Asia & Pacific","WPRO","gn","3g cephalosporins","COL/INF","income",1,59,22,131,"income",1,114,-101,343,87,-76,305,"AMR",2.68623198395786,59,217.487687053514
"2989","Lower middle income","MNG","WPRO B","East Asia & Pacific","WPRO","gn","carbapenems","COL/INF","whoc",4,83,-6,248,"whoc",3,3646,-862,8039,1865,-64,7312,"AMR",2.68623198395786,83,305.957254668502
"2990","Lower middle income","MNG","WPRO B","East Asia & Pacific","WPRO","gp","glycopeptides","COL/INF","wbregion",1,121,-37,378,"global",4,21442,-2465,45825,10782,-69,41973,"AMR",2.68623198395786,121,446.034070058901
"2991","Lower middle income","MNG","WPRO B","East Asia & Pacific","WPRO","gp","penicillins","COL/INF","whoc",1,164,-978,1401,"global",7,3107,-4099,10097,1636,-3045,8949,"AMR",2.68623198395786,164,604.542045369089
"2992","Lower middle income","MNG","WPRO B","East Asia & Pacific","WPRO","gn","3g cephalosporins","RTI","whoc",1,177,59,394,NA,NA,NA,NA,NA,177,59,394,"AMR",2.68623198395786,177,652.463061160541
"2993","Lower middle income","MNG","WPRO B","East Asia & Pacific","WPRO","gn","carbapenems","RTI","wbregion",2,54,-484,610,"wbregion",1,5996,-6713,19851,3025,-4426,15933,"AMR",2.68623198395786,54,199.056527133724
"2994","Lower middle income","MNG","WPRO B","East Asia & Pacific","WPRO","tb","mdr","RTI","wbregion",1,188,-16,544,"global",1,47165,-47709,135207,23676,-31161,118648,"AMR",2.68623198395786,188,693.011612984078
"2995","Lower middle income","MNG","WPRO B","East Asia & Pacific","WPRO","gp","penicillins","RTI","wbregion",2,10,-103,123,"global",5,-762,-5102,3506,-376,-4434,2820,"AMR",2.68623198395786,10,36.8623198395786
"2996","Lower middle income","MNG","WPRO B","East Asia & Pacific","WPRO","gp","penicillins","SSI","global",2,112,36,266,"global",2,37846,-12715,87932,18979,-5277,81115,"AMR",2.68623198395786,112,412.85798220328
"2997","Lower middle income","MNG","WPRO B","East Asia & Pacific","WPRO","gp","penicillins","SSTI","whoc",1,280,56,701,"whoc",1,5377,-5862,16402,2828,-3860,14596,"AMR",2.68623198395786,280,1032.1449555082
"2998","Lower middle income","MNG","WPRO B","East Asia & Pacific","WPRO","gn","3g cephalosporins","UTI","wbregion",2,66,23,147,"global",2,1576,-739,4055,821,-357,3640,"AMR",2.68623198395786,66,243.291310941219
"2999","Lower middle income","MNG","WPRO B","East Asia & Pacific","WPRO","gn","carbapenems","UTI","global",2,143,7,408,NA,NA,NA,NA,NA,143,7,408,"AMR",2.68623198395786,143,527.131173705974
"3000","Lower middle income","MNG","WPRO B","East Asia & Pacific","WPRO","gp","glycopeptides","UTI","global",1,31,-891,918,NA,NA,NA,NA,NA,31,-891,918,"AMR",2.68623198395786,31,114.273191502694
"3001","Lower middle income","MRT","AFRO D","Sub-Saharan Africa","AFRO","gp","penicillins","B-J","income",1,47,17,101,NA,NA,NA,NA,NA,47,17,101,"AMR",2.68623198395786,47,173.252903246019
"3002","Lower middle income","MRT","AFRO D","Sub-Saharan Africa","AFRO","gn","3g cephalosporins","BSI","global",29,38,14,79,"global",9,314,-122,763,176,-51,705,"AMR",2.68623198395786,38,140.076815390399
"3003","Lower middle income","MRT","AFRO D","Sub-Saharan Africa","AFRO","gn","carbapenems","BSI","global",13,46,13,106,NA,NA,NA,NA,NA,46,13,106,"AMR",2.68623198395786,46,169.566671262062
"3004","Lower middle income","MRT","AFRO D","Sub-Saharan Africa","AFRO","gp","glycopeptides","BSI","global",14,63,22,128,"global",5,2826,-634,6410,1445,-164,5811,"AMR",2.68623198395786,63,232.232614989345
"3005","Lower middle income","MRT","AFRO D","Sub-Saharan Africa","AFRO","gp","penicillins","BSI","wbregion",1,146,58,295,"global",12,220,-73,519,183,-35,487,"AMR",2.68623198395786,146,538.189869657848
"3006","Lower middle income","MRT","AFRO D","Sub-Saharan Africa","AFRO","gn","3g cephalosporins","COL/INF","whoc",1,31,13,60,"whoc",1,113,-105,322,72,-74,298,"AMR",2.68623198395786,31,114.273191502694
"3007","Lower middle income","MRT","AFRO D","Sub-Saharan Africa","AFRO","gn","carbapenems","COL/INF","global",21,51,18,111,"global",10,3418,525,6384,1734,20,5968,"AMR",2.68623198395786,51,187.997831181851
"3008","Lower middle income","MRT","AFRO D","Sub-Saharan Africa","AFRO","gp","glycopeptides","COL/INF","global",7,39,-1,100,"global",4,21496,62,45590,10768,-1,41082,"AMR",2.68623198395786,39,143.763047374357
"3009","Lower middle income","MRT","AFRO D","Sub-Saharan Africa","AFRO","gp","penicillins","COL/INF","global",14,25,3,66,"global",7,3041,-4269,11040,1533,-3201,9263,"AMR",2.68623198395786,25,92.1557995989465
"3010","Lower middle income","MRT","AFRO D","Sub-Saharan Africa","AFRO","gn","3g cephalosporins","RTI","global",7,3,-33,41,NA,NA,NA,NA,NA,3,-33,41,"AMR",2.68623198395786,3,11.0586959518736
"3011","Lower middle income","MRT","AFRO D","Sub-Saharan Africa","AFRO","gn","carbapenems","RTI","global",4,18,-64,105,"global",1,6108,-6788,19332,3063,-4466,16532,"AMR",2.68623198395786,18,66.3521757112415
"3012","Lower middle income","MRT","AFRO D","Sub-Saharan Africa","AFRO","tb","mdr","RTI","global",3,1140,-483,3514,"global",1,47306,-43859,137716,24223,-28738,128275,"AMR",2.68623198395786,1140,4202.30446171196
"3013","Lower middle income","MRT","AFRO D","Sub-Saharan Africa","AFRO","gp","penicillins","RTI","global",13,17,2,41,"global",5,-674,-5185,3829,-329,-4538,3085,"AMR",2.68623198395786,17,62.6659437272836
"3014","Lower middle income","MRT","AFRO D","Sub-Saharan Africa","AFRO","gp","penicillins","SSI","global",2,58,21,123,"global",2,37915,-10919,89235,18987,-3878,79787,"AMR",2.68623198395786,58,213.801455069556
"3015","Lower middle income","MRT","AFRO D","Sub-Saharan Africa","AFRO","gp","penicillins","SSTI","global",2,94,21,226,"global",2,621,-443,1760,358,-311,1525,"AMR",2.68623198395786,94,346.505806492039
"3016","Lower middle income","MRT","AFRO D","Sub-Saharan Africa","AFRO","gn","3g cephalosporins","UTI","global",4,28,9,56,"global",2,1623,-889,3953,825,-404,3584,"AMR",2.68623198395786,28,103.21449555082
"3017","Lower middle income","MRT","AFRO D","Sub-Saharan Africa","AFRO","gn","carbapenems","UTI","global",2,74,1,190,NA,NA,NA,NA,NA,74,1,190,"AMR",2.68623198395786,74,272.781166812882
"3018","Lower middle income","MRT","AFRO D","Sub-Saharan Africa","AFRO","gp","glycopeptides","UTI","global",1,22,-386,465,NA,NA,NA,NA,NA,22,-386,465,"AMR",2.68623198395786,22,81.0971036470729
"3019","Lower middle income","NGA","AFRO D","Sub-Saharan Africa","AFRO","gp","penicillins","B-J","income",1,66,21,140,NA,NA,NA,NA,NA,66,21,140,"AMR",2.68623198395786,66,243.291310941219
"3020","Lower middle income","NGA","AFRO D","Sub-Saharan Africa","AFRO","gn","3g cephalosporins","BSI","global",29,54,20,118,"global",9,315,-147,772,184,-94,717,"AMR",2.68623198395786,54,199.056527133724
"3021","Lower middle income","NGA","AFRO D","Sub-Saharan Africa","AFRO","gn","carbapenems","BSI","global",13,64,17,142,NA,NA,NA,NA,NA,64,17,142,"AMR",2.68623198395786,64,235.918846973303
"3022","Lower middle income","NGA","AFRO D","Sub-Saharan Africa","AFRO","gp","glycopeptides","BSI","global",14,90,33,197,"global",5,2848,-822,6364,1469,-226,5843,"AMR",2.68623198395786,90,331.760878556207
"3023","Lower middle income","NGA","AFRO D","Sub-Saharan Africa","AFRO","gp","penicillins","BSI","wbregion",1,208,85,434,"global",12,216,-101,552,212,-48,503,"AMR",2.68623198395786,208,766.736252663235
"3024","Lower middle income","NGA","AFRO D","Sub-Saharan Africa","AFRO","gn","3g cephalosporins","COL/INF","whoc",1,44,18,87,"whoc",1,118,-97,342,81,-69,302,"AMR",2.68623198395786,44,162.194207294146
"3025","Lower middle income","NGA","AFRO D","Sub-Saharan Africa","AFRO","gn","carbapenems","COL/INF","global",21,74,24,155,"global",10,3414,494,6579,1744,26,6063,"AMR",2.68623198395786,74,272.781166812882
"3026","Lower middle income","NGA","AFRO D","Sub-Saharan Africa","AFRO","gp","glycopeptides","COL/INF","global",7,55,0,149,"global",4,21063,-3761,46107,10559,-50,40848,"AMR",2.68623198395786,55,202.742759117682
